Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL00088995,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
Estimated Length,165.0,60.0,193.0,138.0,285.0,158.0,27.0,135.0,277.0,32.0,163.0,100.0,107.0,109.0,137.0,124.0,283.0,44.0,121.0,249.0,73.0,36.0,84.0,58.0,259.0,459.0,153.0,63.0,151.0,21.0,116.0,142.0,93.0,41.0,324.0,76.0,196.0,152.0,126.0,214.0,110.0,72.0,48.0,359.0,350.0,247.0,105.0,38.0,183.0,172.0,170.0,102.0,476.0,210.0,75.0,54.0,82.0,492.0,103.0,105.0,70.0,46.0,147.0,124.0,198.0,78.0,91.0,191.0,142.0,499.0,77.0,432.0,153.0,158.0,125.0,176.0,62.0,308.0,67.0,120.0,159.0,43.0,143.0,81.0,395.0,100.0,145.0,258.0,199.0,22.0,155.0,401.0,82.0,105.0,372.0,88.0,310.0,73.0,88.0,50.0,105.0,216.0,152.0,168.0,185.0,79.0,278.0,164.0,186.0,34.0,188.0,103.0,168.0,170.0,207.0,251.0,88.0,377.0,230.0,375.0,109.0,64.0,93.0,222.0,136.0,46.0
Maximum Ungapped Length,165.0,60.0,191.0,129.0,280.0,153.0,26.0,126.0,255.0,32.0,159.0,97.0,93.0,101.0,127.0,117.0,281.0,44.0,119.0,226.0,71.0,32.0,84.0,45.0,250.0,448.0,142.0,62.0,149.0,20.0,110.0,135.0,89.0,41.0,299.0,76.0,185.0,144.0,119.0,206.0,107.0,71.0,48.0,337.0,302.0,235.0,104.0,33.0,173.0,155.0,160.0,98.0,468.0,204.0,73.0,51.0,76.0,472.0,97.0,104.0,69.0,45.0,145.0,119.0,193.0,77.0,87.0,191.0,136.0,484.0,69.0,428.0,149.0,155.0,125.0,167.0,60.0,303.0,63.0,116.0,147.0,43.0,137.0,74.0,335.0,92.0,145.0,253.0,193.0,22.0,151.0,360.0,81.0,96.0,366.0,88.0,299.0,70.0,86.0,50.0,104.0,204.0,145.0,154.0,185.0,79.0,255.0,158.0,178.0,34.0,180.0,102.0,164.0,166.0,205.0,243.0,88.0,350.0,225.0,366.0,93.0,64.0,90.0,222.0,125.0,46.0
Sequence Length Heterogeneity,1.3410271844600001,0.152507618277,0.271207638478,0.110341115921,0.111641298133,0.142749867157,0.0157856011585,0.126146246741,0.345332632711,0.0183285799743,0.0259067428483,0.114388708133,0.0560347322844,0.0714285714286,0.0139681516739,0.0205951790499,0.075417109506,0.0661437827766,0.19133313259,0.141421926379,0.0979664128145,0.00286468280321,0.0,0.0592557157962,0.188423377013,0.343853028363,0.221203182751,0.208538172695,0.178453719568,0.0,0.120983844746,0.0215645487294,0.0280898876404,0.0,0.107666613371,0.0,0.270511947043,0.0370185597589,0.0505691087237,0.338455642865,0.117180944039,0.0467297920966,0.0450051437389,0.0816495231461,0.080223503263,0.0540988149946,0.0779759380423,0.0359305620747,0.360571590374,0.133166257766,0.141120222239,0.0115703410105,0.250946305383,0.0244592445813,0.125092558324,0.0631811819517,0.0352766841475,0.146784389009,0.0584945017752,0.15656930603,0.0798924278865,0.215349259352,0.0234328931461,0.00814831581069,0.143500751892,0.0144137515133,0.0,0.0839186935906,0.435104921973,0.0481907121133,0.143128039617,0.207580242632,0.031460626752,0.0521477662494,0.0,0.125570128386,0.0254237288136,0.289963498625,0.166666666667,0.0461574358827,0.0386557279387,0.0377852033776,0.0844432381781,0.118628301042,0.121446621461,0.170543591959,0.00807482893972,0.0355522343441,0.0890729939548,0.0,0.0938512566285,0.123028896216,0.0793120233334,0.0335119795208,0.0535758375611,0.0303218716521,0.419534103076,0.0271810025183,0.119238424864,0.0876671082321,0.124709221779,0.0293873196326,0.0767709361251,0.118214912303,0.0,0.0697470123853,0.151299270192,0.0973267835996,0.0324354083814,0.149666295471,0.122272061064,0.0964554211567,0.0886285451032,0.300658669222,0.0204113731532,0.147046634422,0.124247165619,0.172076634182,0.221967410333,0.23911700729,0.0588996217641,0.0163935803014,0.0858301617396,0.733316591137,0.0843326280554,0.0111111111111
Gappiness Percentage,0.553892215569,0.116666666667,0.252427184466,0.310379241517,0.136865342163,0.157407407407,0.0079185520362,0.245532245532,0.453262786596,0.015625,0.0411522633745,0.214387464387,0.222423510467,0.224789915966,0.0157480314961,0.0935390549662,0.0771055753262,0.1,0.30612244898,0.392453951277,0.379464285714,0.000262605042017,0.0,0.406390977444,0.378104575163,0.43018018018,0.379467186485,0.40435413643,0.172185430464,0.0,0.20218579235,0.0965794768612,0.025,0.0,0.395567698846,0.0,0.595614035088,0.0892543859649,0.199650174913,0.479344729345,0.137755102041,0.0826666666667,0.0277777777778,0.208646616541,0.19823434992,0.117006802721,0.193732193732,0.161375661376,0.393243243243,0.376518218623,0.223011363636,0.015873015873,0.221294363257,0.0758293838863,0.142222222222,0.212121212121,0.0864197530864,0.151024590164,0.205026455026,0.162087912088,0.0772946859903,0.285185185185,0.0325342465753,0.058,0.227184466019,0.025641025641,0.0224719101124,0.260465116279,0.36047979798,0.0810916179337,0.518244406196,0.249466950959,0.0526315789474,0.0424628450106,0.0,0.410106382979,0.0368852459016,0.335244335244,0.181818181818,0.127952755906,0.186731195806,0.046511627907,0.114285714286,0.211764705882,0.423857142857,0.515576962492,0.00919540229885,0.0799663299663,0.179915048544,0.0,0.0690789473684,0.27059712774,0.0923694779116,0.189380530973,0.0460704607046,0.0295454545455,0.459677419355,0.0238095238095,0.249140893471,0.317666666667,0.27145581691,0.0846511627907,0.103277674706,0.292485549133,0.0,0.0569620253165,0.477409326425,0.332535885167,0.0296296296296,0.325,0.189054726368,0.307926829268,0.0776470588235,0.402661064426,0.0227642276423,0.336724647194,0.231741573034,0.420009784736,0.315471698113,0.471851225697,0.275524002705,0.0208333333333,0.181818181818,0.465065502183,0.292695473251,0.0163043478261
Average Gap Length,30.8333333333,14.0,12.2352941176,7.06818181818,5.39130434783,5.27586206897,1.0,5.09677419355,19.3962264151,1.0,2.5,5.18965517241,6.77914110429,7.13333333333,1.5,2.93939393939,6.5,2.25,22.5,8.15432098765,10.2,1.0,0.0,11.5,15.6351351351,23.2926829268,11.2307692308,13.5242718447,5.51515151515,0.0,7.4,1.66956521739,2.25,0.0,10.651226158,0.0,34.8205128205,3.73394495413,4.41436464088,17.4051724138,3.27272727273,3.1,2.66666666667,4.91150442478,8.66666666667,4.64864864865,7.55555555556,1.5641025641,14.55,8.01724137931,6.40816326531,1.22222222222,28.9090909091,5.05263157895,3.55555555556,3.125,2.625,8.56976744186,10.3333333333,8.42857142857,5.33333333333,15.4,3.16666666667,2.41666666667,5.70731707317,1.09090909091,1.0,7.85964912281,11.1960784314,5.94285714286,19.4258064516,18.72,2.28571428571,2.22222222222,0.0,11.4222222222,1.8,18.0588235294,3.27272727273,3.61111111111,3.89075630252,2.0,3.69230769231,7.71428571429,16.081300813,15.48,1.0,3.14049586777,4.39259259259,0.0,2.625,15.0420168067,2.3,4.65217391304,5.66666666667,1.44444444444,26.71875,2.0,8.05555555556,7.68548387097,6.88709677419,3.37037037037,4.51351351351,10.7659574468,0.0,9.0,12.7617728532,8.77894736842,2.66666666667,7.15,7.6,6.93893129771,3.14285714286,11.7346938776,1.55555555556,9.58878504673,5.68965517241,10.5337423313,13.0625,18.9863945578,6.93617021277,1.14285714286,3.6,23.6666666667,6.1847826087,1.0
Median Gap Length,5.0,14.0,4.0,4.0,3.0,3.0,1.0,3.0,9.0,1.0,2.0,2.0,6.0,4.0,1.5,2.0,7.5,2.5,21.0,4.0,11.0,1.0,0.0,12.0,4.0,15.0,8.0,10.0,5.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,38.0,2.0,3.0,13.0,1.0,3.5,2.0,3.0,5.0,3.0,6.0,1.0,14.0,7.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,12.0,6.0,4.0,14.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,32.0,6.0,1.5,1.0,0.0,9.0,1.0,5.0,2.0,4.0,2.0,2.0,3.0,11.0,9.0,9.0,1.0,3.0,2.0,0.0,2.0,7.0,1.5,3.0,3.0,1.0,7.5,1.0,8.0,4.0,4.0,2.0,3.0,11.0,0.0,9.0,8.0,2.0,1.0,8.0,7.0,8.0,1.0,8.0,1.0,4.0,3.0,7.0,7.5,6.0,6.0,1.0,2.0,4.0,5.0,1.0
1-SPFP(masked),0.3861003861,0.613793103448,0.254742547425,0.130520764667,0.368495077356,0.43137254902,0.775569964443,0.32546230441,0.0674662668666,0.96256684492,0.731111111111,0.331763122476,0.75984256872,0.124489795918,0.519886363636,0.680477431746,0.683127572016,0.512931034483,0.357976653696,0.192636757393,0.154553817847,0.690628982341,0.952380952381,0.721013538054,0.191580994721,0.101567825494,0.331240069607,0.269417591314,0.352965923433,0.98615916955,0.490272373541,0.87153503494,0.757396449704,0.926829268293,0.204479007435,1.0,0.127369184728,0.728970180305,0.231414810929,0.104074928357,0.650026838433,0.51598173516,0.696480938416,0.457365715299,0.647806855879,0.854166666667,0.467483506126,0.586620330148,0.462220508867,0.46937751004,0.212455303933,0.675689223058,0.847439916405,0.859451862263,0.805714285714,0.797706422018,0.564593301435,0.628345133805,0.631944444444,0.654676258993,0.586206896552,0.649509803922,0.935990338164,0.808139534884,0.133315673957,0.75,0.683794466403,0.300484261501,0.183610250634,0.719973603168,0.744115054318,0.352454495312,0.735507246377,0.432558139535,0.984,0.166161010372,0.50447761194,0.202286538263,0.392592592593,0.228155339806,0.330588414286,0.648054145516,0.627634660422,0.134831460674,0.156316619766,0.293488753422,0.962703962704,0.751786208806,0.202807775378,1.0,0.432364096081,0.194714551923,0.526066350711,0.583135391924,0.797216699801,0.868105515588,0.169538249483,0.601015228426,0.495884773663,0.572863131037,0.235265544041,0.793710021322,0.323401706842,0.575127420999,0.643243243243,0.829836829837,0.0949347516853,0.289221556886,0.755020080321,0.485365853659,0.0788863109049,0.23360145552,0.503401360544,0.0739687055477,0.736301369863,0.173808432631,0.775784753363,0.279687901912,0.220891550233,0.10939098411,0.672411152743,0.815334773218,0.353366298973,0.393536121673,0.387583148559,0.933333333333
1-SPFN(masked),0.462962962963,0.89898989899,0.454106280193,0.314285714286,0.539094650206,0.636144578313,0.793155080214,0.611111111111,0.10989010989,1.0,0.877333333333,0.459673659674,0.935618434169,0.195512820513,0.859154929577,0.828877005348,0.89247311828,0.583333333333,0.494623655914,0.46552949538,0.275862068966,0.831269926484,1.0,0.809822428411,0.431611893584,0.185323383085,0.561066256568,0.357007635515,0.481353987378,0.98275862069,0.575342465753,0.957996843962,0.941176470588,1.0,0.347376648262,1.0,0.260962467484,0.911884623726,0.543327362293,0.207064386038,0.82380952381,0.627777777778,0.989583333333,0.576794097921,0.816492450639,0.887986463621,0.677595628415,0.643047619048,0.67970521542,0.584740462789,0.330705009276,0.943977591036,0.948538011696,0.926515151515,0.839285714286,0.920105820106,0.655555555556,0.961616161616,0.787878787879,0.732394366197,0.708333333333,0.80303030303,0.942822384428,0.88253968254,0.314272970562,1.0,0.729957805907,0.503652597403,0.296363636364,0.879838709677,0.769318350844,0.608571428571,0.875,0.539130434783,1.0,0.306640625,0.531446540881,0.446363636364,0.464912280702,0.345588235294,0.541965454886,0.797916666667,0.882304526749,0.2,0.328782172003,0.445538492422,0.962703962704,0.919333536523,0.434722222222,1.0,0.662790697674,0.547333333333,0.606557377049,0.711594202899,0.897091722595,0.905,0.303703703704,0.74465408805,0.544632768362,0.807216230098,0.388087606838,0.88630952381,0.484848484848,0.7935302391,1.0,0.988888888889,0.243650793651,0.481459330144,0.921568627451,0.638502673797,0.103975535168,0.384294265911,0.60162601626,0.145658263305,0.853174603175,0.399736495389,0.867167919799,0.397417153996,0.349473684211,0.22849002849,0.860941176471,0.915151515152,0.573456790123,0.485915492958,0.601928374656,1.0
TC(masked),0.0,0.848484848485,0.0724637681159,0.0952380952381,0.314814814815,0.204819277108,0.32,0.153846153846,0.0,1.0,0.816,0.0,0.52380952381,0.0,0.788732394366,0.409090909091,0.849462365591,0.352941176471,0.41935483871,0.0,0.0,0.423076923077,1.0,0.0,0.154929577465,0.0223880597015,0.156862745098,0.0,0.132530120482,0.75,0.41095890411,0.719298245614,0.882352941176,1.0,0.0,1.0,0.0,0.622641509434,0.0909090909091,0.0,0.571428571429,0.111111111111,0.96875,0.267605633803,0.570731707317,0.715736040609,0.44262295082,0.12,0.31746031746,0.280487804878,0.0,0.882352941176,0.922807017544,0.818181818182,0.767857142857,0.472222222222,0.55,0.888429752066,0.257575757576,0.605633802817,0.5625,0.681818181818,0.890510948905,0.771428571429,0.0,1.0,0.594936708861,0.227272727273,0.0,0.701612903226,0.333333333333,0.417142857143,0.758620689655,0.313043478261,1.0,0.0,0.22641509434,0.225,0.263157894737,0.0,0.101265822785,0.71875,0.740740740741,0.0,0.0,0.0,0.944055944056,0.647668393782,0.0,1.0,0.372093023256,0.2,0.475409836066,0.405797101449,0.845637583893,0.7625,0.271604938272,0.471698113208,0.220338983051,0.272727272727,0.0,0.75,0.185185185185,0.455696202532,1.0,0.983333333333,0.0,0.157894736842,0.882352941176,0.294117647059,0.0,0.0,0.252032520325,0.0,0.791666666667,0.0,0.59649122807,0.0,0.168421052632,0.0,0.266666666667,0.745454545455,0.333333333333,0.0,0.121212121212,1.0
Compression(masked),0.9880239520958084,1.0,0.936893203883,0.826347305389,0.943708609272,0.975308641975,1.03846153846,0.944055944056,0.854938271605,1.0,1.00617283951,0.925925925926,0.990740740741,0.915966386555,1.07874015748,1.01639344262,1.00711743772,0.977777777778,0.823129251701,0.813725490196,0.760416666667,1.125,1.0,1.03571428571,0.846405228758,0.827027027027,0.894736842105,0.969230769231,1.0,1.05,0.950819672131,1.0,1.03333333333,1.0,0.885245901639,1.0,0.687719298246,1.0,0.913043478261,0.91452991453,0.982142857143,0.96,1.0,0.944736842105,0.983146067416,1.00816326531,0.897435897436,1.05555555556,0.989189189189,0.905263157895,0.965909090909,1.0303030303,0.993736951983,0.995260663507,1.0,0.981818181818,1.01234567901,1.00819672131,0.953703703704,1.00961538462,1.01449275362,1.02222222222,1.00684931507,0.992,0.961165048544,1.0,1.02247191011,0.888372093023,0.986111111111,0.972709551657,1.1,0.921108742004,1.00657894737,1.00636942675,1.0,0.748936170213,1.01639344262,0.924924924925,1.01515151515,0.944881889764,0.929824561404,1.0,1.02142857143,0.952941176471,0.79,0.840336134454,1.0,0.977272727273,0.966019417476,1.0,1.01973684211,0.909297052154,0.987951807229,0.929203539823,1.0081300813,1.0,0.833333333333,1.04285714286,0.907216494845,1.0,0.867768595041,1.00465116279,1.03401360544,0.971098265896,1.0,1.0,0.720207253886,0.784688995215,1.03333333333,0.85,0.935323383085,0.837398373984,0.988235294118,0.833333333333,1.00975609756,0.906137184116,0.988764044944,0.860730593607,0.867924528302,0.824175824176,0.939655172414,1.0,0.939393939394,0.96943231441,0.83950617284,1.0
Average Terminal Gap length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
