Statistics,AL10051306,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00050155,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL00055594,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050021,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00063492,AL00074653,AL10050021,AL00064294,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00051971,AL00103575,AL10050712,AL10050335,AL00089623,AL00063412,AL00049599,AL00051913,AL00057413,AL10074933,AL00069117,AL00050464,AL00053354,AL00047305,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00055723,AL10050464,AL10069117,AL00100877,AL00053473,AL10050155,AL00050331,AL00052113,AL00052821,AL00057492
Estimated Length,167.0,200.0,158.0,399.0,163.0,141.0,32.0,111.0,138.0,122.0,289.0,52.0,128.0,305.0,84.0,379.0,510.0,83.0,157.0,20.0,119.0,90.0,41.0,76.0,234.0,153.0,150.0,232.0,71.0,48.0,387.0,377.0,246.0,117.0,189.0,483.0,215.0,75.0,52.0,81.0,105.0,69.0,45.0,146.0,204.0,78.0,104.0,221.0,141.0,448.0,151.0,228.0,125.0,68.0,337.0,68.0,43.0,143.0,145.0,202.0,165.0,507.0,81.0,105.0,72.0,123.0,216.0,152.0,185.0,79.0,414.0,181.0,190.0,199.0,124.0,253.0,325.0,475.0,131.0,64.0,95.0,152.0,46.0
Maximum Ungapped Length,165.0,191.0,129.0,280.0,153.0,126.0,32.0,93.0,127.0,117.0,281.0,44.0,119.0,226.0,84.0,250.0,448.0,62.0,149.0,20.0,110.0,89.0,41.0,76.0,185.0,144.0,119.0,206.0,71.0,48.0,337.0,302.0,235.0,104.0,155.0,468.0,204.0,73.0,51.0,76.0,104.0,69.0,45.0,145.0,193.0,77.0,87.0,191.0,136.0,428.0,149.0,155.0,125.0,60.0,303.0,63.0,43.0,137.0,145.0,193.0,151.0,360.0,81.0,96.0,70.0,104.0,204.0,145.0,185.0,79.0,255.0,158.0,178.0,180.0,102.0,164.0,243.0,366.0,93.0,64.0,90.0,125.0,46.0
Sequence Length Heterogeneity,1.3410271844600001,0.271207638478,0.110341115921,0.111641298133,0.142749867157,0.126146246741,0.0183285799743,0.0560347322844,0.0139681516739,0.0205951790499,0.075417109506,0.0661437827766,0.19133313259,0.141421926379,0.0,0.188423377013,0.343853028363,0.208538172695,0.178453719568,0.0,0.120983844746,0.0280898876404,0.0,0.0,0.270511947043,0.0370185597589,0.0505691087237,0.338455642865,0.0467297920966,0.0450051437389,0.0816495231461,0.080223503263,0.0540988149946,0.0779759380423,0.133166257766,0.250946305383,0.0244592445813,0.125092558324,0.0631811819517,0.0352766841475,0.15656930603,0.0798924278865,0.215349259352,0.0234328931461,0.143500751892,0.0144137515133,0.0,0.0839186935906,0.435104921973,0.207580242632,0.031460626752,0.0521477662494,0.0,0.0254237288136,0.289963498625,0.166666666667,0.0377852033776,0.0844432381781,0.00807482893972,0.0890729939548,0.0938512566285,0.123028896216,0.0793120233334,0.0335119795208,0.0271810025183,0.124709221779,0.0293873196326,0.0767709361251,0.0,0.0697470123853,0.151299270192,0.0973267835996,0.0324354083814,0.122272061064,0.0964554211567,0.0886285451032,0.147046634422,0.23911700729,0.0588996217641,0.0163935803014,0.0858301617396,0.0843326280554,0.0111111111111
Gappiness Percentage,0.553892215569,0.252427184466,0.310379241517,0.136865342163,0.157407407407,0.245532245532,0.015625,0.222423510467,0.0157480314961,0.0935390549662,0.0771055753262,0.1,0.30612244898,0.392453951277,0.0,0.378104575163,0.43018018018,0.40435413643,0.172185430464,0.0,0.20218579235,0.025,0.0,0.0,0.595614035088,0.0892543859649,0.199650174913,0.479344729345,0.0826666666667,0.0277777777778,0.208646616541,0.19823434992,0.117006802721,0.193732193732,0.376518218623,0.221294363257,0.0758293838863,0.142222222222,0.212121212121,0.0864197530864,0.162087912088,0.0772946859903,0.285185185185,0.0325342465753,0.227184466019,0.025641025641,0.0224719101124,0.260465116279,0.36047979798,0.249466950959,0.0526315789474,0.0424628450106,0.0,0.0368852459016,0.335244335244,0.181818181818,0.046511627907,0.114285714286,0.00919540229885,0.179915048544,0.0690789473684,0.27059712774,0.0923694779116,0.189380530973,0.0238095238095,0.27145581691,0.0846511627907,0.103277674706,0.0,0.0569620253165,0.477409326425,0.332535885167,0.0296296296296,0.189054726368,0.307926829268,0.0776470588235,0.336724647194,0.471851225697,0.275524002705,0.0208333333333,0.181818181818,0.292695473251,0.0163043478261
Average Gap Length,30.8333333333,12.2352941176,7.06818181818,5.39130434783,5.27586206897,5.09677419355,1.0,6.77914110429,1.5,2.93939393939,6.5,2.25,22.5,8.15432098765,0.0,15.6351351351,23.2926829268,13.5242718447,5.51515151515,0.0,7.4,2.25,0.0,0.0,34.8205128205,3.73394495413,4.41436464088,17.4051724138,3.1,2.66666666667,4.91150442478,8.66666666667,4.64864864865,7.55555555556,8.01724137931,28.9090909091,5.05263157895,3.55555555556,3.125,2.625,8.42857142857,5.33333333333,15.4,3.16666666667,5.70731707317,1.09090909091,1.0,7.85964912281,11.1960784314,18.72,2.28571428571,2.22222222222,0.0,1.8,18.0588235294,3.27272727273,2.0,3.69230769231,1.0,4.39259259259,2.625,15.0420168067,2.3,4.65217391304,2.0,6.88709677419,3.37037037037,4.51351351351,0.0,9.0,12.7617728532,8.77894736842,2.66666666667,7.6,6.93893129771,3.14285714286,9.58878504673,18.9863945578,6.93617021277,1.14285714286,3.6,6.1847826087,1.0
Median Gap Length,5.0,4.0,4.0,3.0,3.0,3.0,1.0,6.0,1.5,2.0,7.5,2.5,21.0,4.0,0.0,4.0,15.0,10.0,5.0,0.0,3.0,1.0,0.0,0.0,38.0,2.0,3.0,13.0,3.5,2.0,3.0,5.0,3.0,6.0,7.0,3.0,4.0,2.0,3.0,3.0,6.0,4.0,14.0,3.0,3.0,1.0,1.0,4.0,3.0,6.0,1.5,1.0,0.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,1.5,3.0,1.0,4.0,2.0,3.0,0.0,9.0,8.0,2.0,1.0,7.0,8.0,1.0,4.0,6.0,6.0,1.0,2.0,5.0,1.0
1-SPFP(masked),0.484496124031,0.411605937922,0.178794178794,0.324435318275,0.543016759777,0.414981486756,0.96256684492,0.766392502144,0.597142857143,0.787735849057,0.726768377254,0.575609756098,0.45564516129,0.284094634466,0.952380952381,0.321562734786,0.148396718867,0.234324209733,0.311710927296,1.0,0.509881422925,0.790697674419,0.926829268293,1.0,0.248578199052,0.768610634648,0.308786529901,0.185192809112,0.521739130435,0.689149560117,0.654914901007,0.720795049691,0.887283236994,0.706496898466,0.533740039841,0.830508474576,0.884358523726,0.721590909091,0.813767950764,0.695238095238,0.757142857143,0.632768361582,0.657142857143,0.981992797119,0.270636595934,0.744870651204,0.656387665198,0.474541225123,0.259221047201,0.381661891117,0.725,0.381443298969,0.984,0.577639751553,0.212313551254,0.379562043796,0.625623960067,0.623762376238,0.967365967366,0.347546637404,0.4875491481,0.243598442913,0.594339622642,0.685747663551,0.560240963855,0.358016304348,0.838024429102,0.429654967281,0.643243243243,0.839160839161,0.222322039699,0.41788143829,0.604081632653,0.200483091787,0.406686156167,0.480968858131,0.32766426037,0.239187744923,0.717460001987,0.827956989247,0.534385569335,0.480849168646,0.922222222222
1-SPFN(masked),0.578703703704,0.736714975845,0.409523809524,0.325102880658,0.780722891566,0.778311965812,1.0,0.973161567364,0.981220657277,0.976771390374,0.939068100358,0.578431372549,0.60752688172,0.671900239064,1.0,0.669796557121,0.247512437811,0.313876443491,0.410786001147,1.0,0.58904109589,1.0,1.0,1.0,0.584726867336,0.971806549555,0.714509628303,0.375330273954,0.644444444444,0.979166666667,0.843058350101,0.892915214866,0.935025380711,0.985428051002,0.670262664165,0.916959064327,0.95303030303,0.755952380952,0.944444444444,0.811111111111,0.853118712274,0.777777777778,0.836363636364,0.995133819951,0.651917930419,0.994047619048,0.628691983122,0.74512987013,0.456818181818,0.634285714286,0.875,0.321739130435,1.0,0.584905660377,0.456136363636,0.456140350877,0.783333333333,0.881481481481,0.967365967366,0.769791666667,0.720930232558,0.649619047619,0.688524590164,0.850724637681,0.701886792453,0.563034188034,0.939285714286,0.648484848485,1.0,1.0,0.549947089947,0.685805422648,0.725490196078,0.253822629969,0.679347826087,0.452032520325,0.705665349144,0.478205128205,0.943764705882,0.933333333333,0.877777777778,0.743572084481,0.988095238095
TC(masked),0.19444444444444445,0.594202898551,0.357142857143,0.0,0.457831325301,0.269230769231,1.0,0.68253968254,0.971830985915,0.863636363636,0.908602150538,0.411764705882,0.483870967742,0.149253731343,1.0,0.464788732394,0.0671641791045,0.0,0.0,1.0,0.41095890411,1.0,1.0,1.0,0.0,0.801886792453,0.227272727273,0.0,0.111111111111,0.9375,0.657276995305,0.682926829268,0.822335025381,0.967213114754,0.378048780488,0.891228070175,0.869318181818,0.696428571429,0.583333333333,0.733333333333,0.676056338028,0.666666666667,0.681818181818,0.992700729927,0.118644067797,0.982142857143,0.443037974684,0.511363636364,0.0,0.451428571429,0.801724137931,0.0,1.0,0.264150943396,0.2375,0.342105263158,0.75,0.802469135802,0.951048951049,0.291666666667,0.441860465116,0.27,0.573770491803,0.63768115942,0.320754716981,0.104166666667,0.863095238095,0.296296296296,1.0,1.0,0.0,0.434210526316,0.588235294118,0.155963302752,0.195652173913,0.00813008130081,0.130434782609,0.1,0.4,0.8,0.733333333333,0.106060606061,0.97619047619
Compression(masked),1.0,0.970873786408,0.946107784431,1.32119205298,1.00617283951,0.986013986014,1.0,1.02777777778,1.08661417323,1.0,1.02846975089,1.15555555556,0.87074829932,0.996732026144,1.0,1.2385620915,0.918918918919,1.27692307692,1.03973509934,1.0,0.975409836066,1.0,1.0,1.0,0.821052631579,1.00657894737,1.08695652174,0.991452991453,0.946666666667,1.0,1.01842105263,1.05898876404,1.00408163265,1.0,0.994736842105,1.00835073069,1.01895734597,1.0,0.945454545455,1.0,1.00961538462,1.0,1.0,1.0,0.990291262136,1.0,1.16853932584,1.02790697674,0.979166666667,0.955223880597,0.993421052632,1.45222929936,1.0,1.11475409836,1.01201201201,1.0303030303,1.0,1.02142857143,1.0,0.980582524272,1.08552631579,1.14965986395,0.975903614458,0.929203539823,1.02857142857,1.01652892562,1.00465116279,1.03401360544,1.0,1.0,1.0725388601,0.866028708134,1.05555555556,0.990049751244,1.0081300813,1.48823529412,1.17328519856,1.04395604396,1.12931034483,1.0,0.959595959596,0.938271604938,1.0
