Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
SAWA,0.34570254581176474,0.29794140288235293,0.32182197429411774,0.11487713405882352,0.34570254581176474,1.3196769699764705,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,188.47058823529412,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
SparseSAWA,0.34570254581176474,0.29794140288235293,0.32182197429411774,0.11487713405882352,0.34570254581176474,1.3196769699764705,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,188.47058823529412,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
SparserSAWA,0.34570254581176474,0.29794140288235293,0.32182197429411774,0.11487713405882352,0.34570254581176474,1.3196769699764705,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,188.47058823529412,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
SparsestSAWA,0.34570254581176474,0.29794140288235293,0.32182197429411774,0.11487713405882352,0.34570254581176474,1.3196769699764705,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,188.47058823529412,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
BPWA,0.7452562474293765,0.7529198826563767,0.7490880650428706,0.5343996668910587,0.7452562474293765,0.9704639277033881,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,141.8,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparseBPWA,0.7449466589182235,0.752262417182918,0.7486045380505998,0.5342051116823942,0.7449466589182235,0.9736633034465882,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,142.35294117647058,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparserBPWA,0.7413416198635646,0.7482595931705177,0.7448006065170473,0.5306171425007741,0.7413416198635646,0.9764473040456468,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,142.85882352941175,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparsestBPWA,0.6211358715756787,0.6222717342173588,0.621703802896485,0.45225523116432825,0.6211358715756787,0.9823031375498352,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,143.36470588235295,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SAPD,0.8354421930305409,0.6797982698708764,0.7576202314506826,0.5030066411766572,0.8354421930305409,1.4024714601985415,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,209.3764705882353,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SAPDMul,0.7956899940032236,0.7070279872507694,0.751358990627,0.5132930578773901,0.7956899940032236,1.226026478875188,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,182.41176470588235,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SAPDSum,0.8635490401877765,0.6434287358220449,0.753488888004965,0.4756097950210377,0.8635490401877765,1.5533516409973653,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,233.10588235294117,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparseSAPD,0.8339240780914119,0.6797464480261823,0.7568352630587882,0.5017121031392252,0.8339240780914119,1.3987177342143884,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,208.98823529411766,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparserSAPD,0.8333899137518117,0.6794187416267234,0.756404327689212,0.5017838679361113,0.8333899137518117,1.397459861075965,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,208.8,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
SparsestSAPD,0.832603799710447,0.6794584897523822,0.7560311447314002,0.5017613657592489,0.832603799710447,1.3932950374755175,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,208.1529411764706,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
