Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
AL00051906,SAWA0_1,0.55343771273,0.567737430168,0.560587571449,0.23636363636363636,0.5534377127297482,0.9018867924528302,0.719622641509,0.852830188679,5,265,239,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,BPWA0,0.720454545455,0.442737430168,0.581595987811,0.23636363636363636,0.7204545454545455,1.8641509433962264,0.719622641509,0.852830188679,5,265,494,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,SAWA0,0.70423991727,0.475558659218,0.589899288244,0.25,0.704239917269907,1.7471698113207548,0.719622641509,0.852830188679,5,265,463,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,BPPD,0.848656294201,0.418994413408,0.633825353804,0.2,0.8486562942008486,1.9622641509433962,0.719622641509,0.852830188679,5,265,520,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,DefaultContrAlign,0.576682859126,0.58030726257,0.578495060848,0.2409090909090909,0.5766828591256072,0.9245283018867925,0.719622641509,0.852830188679,5,265,245,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,ProbAlign,0.475446428571,0.446229050279,0.460837739425,0.1318181818181818,0.47544642857142855,1.0377358490566038,0.719622641509,0.852830188679,5,265,275,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051906,LINSI,0.407556270096,0.35405027933,0.380803274713,0.12727272727272726,0.407556270096463,1.1018867924528302,0.719622641509,0.852830188679,5,265,292,225,0.221967410333,0.315471698113,13.0625,7.5
AL00051913,BPWA1,0.0767142385442,0.0707111697271,0.0737127041357,0.0025974025974025974,0.07671423854422717,0.9024943310657596,0.721736313573,0.893424036281,15,441,398,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA1,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_9,0.0767142385442,0.0707111697271,0.0737127041357,0.0025974025974025974,0.07671423854422717,0.9024943310657596,0.721736313573,0.893424036281,15,441,398,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_9,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_8,0.0767142385442,0.0707111697271,0.0737127041357,0.0025974025974025974,0.07671423854422717,0.9024943310657596,0.721736313573,0.893424036281,15,441,398,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_8,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_7,0.0767142385442,0.0707111697271,0.0737127041357,0.0025974025974025974,0.07671423854422717,0.9024943310657596,0.721736313573,0.893424036281,15,441,398,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_7,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_6,0.355568981449,0.338338236786,0.346953609117,0.11948051948051948,0.3555689814485749,0.9931972789115646,0.721736313573,0.893424036281,15,441,438,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_6,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_5,0.369041681511,0.350309424774,0.359675553142,0.13506493506493505,0.3690416815105094,1.002267573696145,0.721736313573,0.893424036281,15,441,442,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_5,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_4,0.366697548461,0.348009874539,0.3573537115,0.13246753246753246,0.3666975484606613,1.0045351473922903,0.721736313573,0.893424036281,15,441,443,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_4,0.49348432254,0.293260288796,0.393372305668,0.05194805194805195,0.49348432254026064,2.820861678004535,0.721736313573,0.893424036281,15,441,1244,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,BPWA0_3,0.364044143823,0.34581177505,0.354927959437,0.12467532467532468,0.3640441438234247,1.0090702947845804,0.721736313573,0.893424036281,15,441,445,360,0.123028896216,0.27059712774,15.0420168067,7.0
AL00051913,SAWA0_3,0.508241601551,0.301342531534,0.404792066543,0.07012987012987013,0.5082416015513603,2.8253968253968256,0.721736313573,0.893424036281,15,441,1246,360,0.123028896216,0.27059712774,15.0420168067,7.0
